0,RedChIP_input,RedChIP_nofilt,RedChIP_signal,triad_input,triad_input_ChIP,triad_signal
RedChIP_input,1,0,0,1.900993e-298,0,5.420421e-04
RedChIP_nofilt,0,1,0,0,0,7.129892e-03
RedChIP_signal,0,0,1,0,0,5.420421e-04
triad_input,1.900993e-298,0,0,1,0,4.093053e-03
triad_input_ChIP,0,0,0,0,1,5.420421e-04
triad_signal,5.420421e-04,7.129892e-03,5.420421e-04,4.093053e-03,5.420421e-04,1
